year,total_hired,terminated_emp,net_change,net_change_percentage
2000,220,31,189,0.86
2001,1122,203,919,0.82
2002,1067,174,893,0.84
2003,1142,202,940,0.82
2004,1135,204,931,0.82
2005,1097,192,905,0.82
2006,1118,187,931,0.83
2007,1090,154,936,0.86
2008,1108,147,961,0.87
2009,1140,159,981,0.86
2010,1099,138,961,0.87
2011,1101,121,980,0.89
2012,1103,117,986,0.89
2013,1105,100,1005,0.91
2014,1053,95,958,0.91
2015,1059,85,974,0.92
2016,1122,74,1048,0.93
2017,1091,61,1030,0.94
2018,1147,55,1092,0.95
2019,1083,54,1029,0.95
2020,1012,37,975,0.96
